"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: shift","Param: size"
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,23.718963,0.578039,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,21.234960,0.452501,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.845721,0.140226,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.425537,0.953564,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.988171,0.056460,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,19.522423,0.285745,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,23.985684,0.314591,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,21.303372,0.041595,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.773167,0.113329,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.407563,0.815401,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.127399,0.053969,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,19.724994,0.484295,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,24.050942,3.004744,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,21.203478,0.760801,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.116450,0.273261,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.187758,0.131386,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.977838,0.133023,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,19.936276,0.642920,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,23.875653,0.113615,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,21.663331,0.364687,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.022313,0.598879,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.173478,0.038275,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.934760,0.501059,"ops/us",8,1030
